round,task,rows,rows_with_metric,share_metric
v0.5,AD,4,0,0.0
v0.5,IC,4,0,0.0
v0.5,KWS,5,0,0.0
v0.5,VWW,4,0,0.0
v0.7,AD,12,0,0.0
v0.7,IC,11,0,0.0
v0.7,KWS,13,0,0.0
v0.7,VWW,11,0,0.0
v1.0,AD,14,0,0.0
v1.0,IC,15,0,0.0
v1.0,KWS,15,0,0.0
v1.0,VWW,15,0,0.0
v1.1,AD,23,0,0.0
v1.1,IC,30,0,0.0
v1.1,KWS,30,0,0.0
v1.1,VWW,28,0,0.0
v1.2,AD,22,0,0.0
v1.2,IC,20,0,0.0
v1.2,KWS,14,0,0.0
v1.2,VWW,17,0,0.0
v1.3,AD,6,0,0.0
v1.3,IC,9,0,0.0
v1.3,KWS,9,0,0.0
v1.3,VWW,10,0,0.0
