round,task,_software_family,latency_us_n,latency_us_median,latency_us_q10,latency_us_q25,latency_us_q75,latency_us_q90,latency_us_min,latency_us_max,latency_us_iqr,latency_us_low_n
v1.0,VWW,CMSIS-NN,3,232000.0,135688.0,171805.0,266600.0,287360.0,111610.0,301200.0,94795.0,True
v1.0,VWW,OTHER,3,1733.0,1246.6,1429.0,56671.5,89634.6,1125.0,111610.0,55242.5,True
v1.0,VWW,Plumerai,4,149750.0,72000.0,94500.0,196525.0,203770.0,57000.0,208600.0,102025.0,True
v1.0,VWW,Syntiant SDK/TDK,2,8400.0,4960.0,6250.0,10550.0,11840.0,4100.0,12700.0,4300.0,True
v1.0,VWW,TFLM,1,111610.0,111610.0,111610.0,111610.0,111610.0,111610.0,111610.0,0.0,True
v1.0,VWW,TVM,1,336500.0,336500.0,336500.0,336500.0,336500.0,336500.0,336500.0,0.0,True
v1.0,VWW,X-CUBE-AI,3,133410.0,67242.0,92055.0,181945.0,211066.0,50700.0,230480.0,89890.0,True
v1.1,AD,OTHER,8,5273.045,1598.7259999999999,3277.4375,8018.1625,19614.744999999995,1356.33,46546.3,4740.725,False
v1.1,AD,Plumerai,5,3671.92,1492.15,1708.81,4051.63,4293.784,1347.71,4455.219999999999,2342.82,False
v1.1,AD,TVM,3,8604.960000000001,6751.808000000001,7446.740000000001,10152.48,11080.992,6288.52,11700.0,2705.739999999999,True
v1.1,AD,UNKNOWN,2,7600.0,7600.0,7600.0,7600.0,7600.0,7600.0,7600.0,0.0,True
v1.1,AD,X-CUBE-AI,5,1828.1499999999999,1807.308,1818.27,4849.87,6054.358,1800.0,6857.35,3031.6,False
v1.1,IC,OTHER,21,5100.0,147.285,411.28,117744.0,296600.0,147.285,1669450.0,117332.72,False
v1.1,IC,Plumerai,5,104286.0,55707.06,62877.299999999996,167757.0,180481.2,50926.9,188964.0,104879.70000000001,False
v1.1,IC,Syntiant SDK/TDK,2,10537.5,6187.5,7818.75,13256.25,14887.5,5100.0,15975.0,5437.5,True
v1.1,IC,TVM,5,389100.0,346358.4,389100.0,389560.0,389560.0,317864.0,389560.0,460.0,False
v1.1,IC,UNKNOWN,2,224450.0,222490.0,223225.0,225675.0,226410.0,222000.0,226900.0,2450.0,True
v1.1,IC,X-CUBE-AI,5,54900.0,52704.340000000004,53838.700000000004,128205.00000000001,179679.0,51948.1,213995.0,74366.30000000002,False
v1.1,KWS,OTHER,21,4211.22,323.846,2151.05,39736.2,82000.8,323.846,679348.0,37585.149999999994,False
v1.1,KWS,Plumerai,5,30042.7,15416.66,17749.1,47780.6,51549.92,13861.7,54062.8,30031.5,False
v1.1,KWS,Syntiant SDK/TDK,2,2933.58,1786.716,2216.79,3650.37,4080.444,1500.0,4367.16,1433.58,True
v1.1,KWS,TVM,5,99840.3,85816.78,99810.4,144000.0,144000.0,76487.7,144000.0,44189.600000000006,False
v1.1,KWS,UNKNOWN,2,73700.0,72900.0,73200.0,74200.0,74500.0,72700.0,74700.0,1000.0,True
v1.1,KWS,X-CUBE-AI,5,16725.8,15771.92,16400.0,38580.2,53156.060000000005,15353.199999999999,62873.3,22180.199999999997,False
v1.1,VWW,OTHER,18,12722.6,720.308,5446.6475,110736.6,185851.0,720.308,1869160.0,105289.9525,False
v1.1,VWW,Plumerai,5,59491.9,29721.960000000003,34079.700000000004,98755.70000000001,104479.28,26816.8,108295.0,64676.00000000001,False
v1.1,VWW,Syntiant SDK/TDK,2,8411.3,4962.26,6255.65,10566.95,11860.34,4100.0,12722.6,4311.300000000001,True
v1.1,VWW,TVM,3,300842.0,246822.8,267080.0,319871.0,331288.4,233318.0,338900.0,52791.0,True
v1.1,VWW,UNKNOWN,3,221100.0,44516.0,110735.0,223000.0,224140.0,370.0,224900.0,112265.0,True
v1.1,VWW,X-CUBE-AI,5,50408.299999999996,37897.28,50300.0,71561.5,99841.0,29628.8,118694.0,21261.5,False
v1.2,AD,OTHER,1,370.0,370.0,370.0,370.0,370.0,370.0,370.0,0.0,True
v1.2,AD,Qualcomm AI Stack,1,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,True
v1.2,AD,UNKNOWN,17,4930.0,1248.0,1710.0,5970.0,11176.000000000004,530.0,40890.0,4260.0,False
