round,rows_total,rows_unknown,share_unknown
v0.5,18,1,0.05555555555555555
v0.7,59,12,0.2033898305084746
v1.0,60,1,0.016666666666666666
v1.1,111,0,0.0
v1.2,73,0,0.0
v1.3,34,0,0.0
