round,task,_software_family,energy_uj_n,energy_uj_median,energy_uj_q10,energy_uj_q25,energy_uj_q75,energy_uj_q90,energy_uj_min,energy_uj_max,energy_uj_iqr,energy_uj_low_n
v1.1,KWS,OTHER,6,43.802,31.537,34.60325,2602.0879999999997,4101.375,31.537,4747.9,2567.4847499999996,False
v1.1,KWS,Syntiant SDK/TDK,2,37.6695,32.7635,34.60325,40.735749999999996,42.5755,31.537,43.802,6.132499999999993,True
v1.1,KWS,UNKNOWN,2,5554.55,5496.1900000000005,5518.075000000001,5591.025,5612.91,5481.6,5627.5,72.94999999999891,True
v1.1,KWS,X-CUBE-AI,5,2362.1,1350.284,1869.38,2367.47,2646.872,1004.22,2833.14,498.0899999999997,False
v1.1,VWW,OTHER,6,97.164,71.711,78.07425,5632.505999999999,8945.21,71.711,10412.8,5554.43175,False
v1.1,VWW,Syntiant SDK/TDK,2,84.4375,74.2563,78.07425,90.80075,94.6187,71.711,97.164,12.726499999999987,True
v1.1,VWW,UNKNOWN,2,16554.699999999997,16539.98,16545.5,16563.899999999998,16569.42,16536.3,16573.1,18.399999999997817,True
v1.1,VWW,X-CUBE-AI,5,5618.28,2632.124,3699.35,6928.3,7457.74,1920.64,7810.7,3228.9500000000003,False
v1.2,AD,X-CUBE-AI,3,165.73,98.64999999999999,123.80499999999999,184.55,195.842,81.88,203.37,60.74500000000002,True
v1.2,IC,Syntiant SDK/TDK,2,120.6,105.584,111.215,129.985,135.616,101.83,139.37,18.77000000000001,True
v1.2,IC,X-CUBE-AI,3,5090.28,3081.232,3834.625,6004.83,6553.56,2578.97,6919.38,2170.205,True
v1.2,KWS,Syntiant SDK/TDK,2,37.67,32.766,34.605,40.735,42.574,31.54,43.8,6.130000000000003,True
v1.2,KWS,X-CUBE-AI,3,1375.6,800.048,1015.8799999999999,1598.025,1731.48,656.16,1820.45,582.1450000000002,True
v1.2,VWW,Syntiant SDK/TDK,2,84.435,74.255,78.07249999999999,90.7975,94.615,71.71,97.16,12.725000000000009,True
v1.2,VWW,X-CUBE-AI,3,2965.46,1676.844,2160.075,3430.0150000000003,3708.748,1354.69,3894.57,1269.9400000000005,True
v1.3,AD,X-CUBE-AI,3,77.2364,40.915040000000005,54.53555,118.8297,143.78568,31.8347,160.423,64.29415,True
v1.3,IC,Syntiant SDK/TDK,2,120.6,105.5864,111.2165,129.9835,135.6136,101.833,139.367,18.766999999999996,True
v1.3,IC,X-CUBE-AI,3,2565.24,1285.5136,1765.4109999999998,4030.575,4909.776,965.582,5495.91,2265.1639999999998,True
v1.3,KWS,Syntiant SDK/TDK,2,37.6695,32.7635,34.60325,40.735749999999996,42.5755,31.537,43.802,6.132499999999993,True
v1.3,KWS,X-CUBE-AI,3,664.424,329.1576,454.8825,1047.547,1277.4208,245.341,1430.67,592.6645000000001,True
v1.3,VWW,Syntiant SDK/TDK,2,84.4375,74.2563,78.07425,90.80075,94.6187,71.711,97.164,12.726499999999987,True
v1.3,VWW,X-CUBE-AI,3,1372.17,689.6148000000001,945.5730000000001,2200.96,2698.234,518.976,3029.75,1255.387,True
