system_id,round,task,cluster_id,cluster_class,cluster_rank,latency_us,energy_uj
0.5-464,v0.5,KWS,3,C5,5,181917.0,7373.7
0.5-464,v0.5,AD,3,C5,5,10400.0,416.312
0.5-464,v0.5,VWW,3,C5,5,603136.0,24320.8
0.5-464,v0.5,IC,3,C5,5,704225.0,29207.0
0.5-465,v0.5,KWS,1,C3,3,325630.0,
0.5-465,v0.5,AD,1,C3,3,13650.0,
0.5-465,v0.5,VWW,1,C3,3,846740.0,
0.5-465,v0.5,IC,1,C3,3,1239160.0,
0.5-466,v0.5,KWS,1,C3,3,393.23,
0.5-466,v0.5,AD,1,C3,3,168.549,
0.5-466,v0.5,VWW,1,C3,3,3745.4700000000003,
0.5-466,v0.5,IC,1,C3,3,1312.35,
0.5-467,v0.5,KWS,1,C3,3,421.47,
0.5-467,v0.5,AD,1,C3,3,192.092,
0.5-467,v0.5,VWW,1,C3,3,2599.2999999999997,
0.5-467,v0.5,IC,1,C3,3,1071.49,
0.5-468,v0.5,KWS,0,C2,2,5950.0,
0.7-2001,v0.7,KWS,0,C2,2,79850.0,
0.7-2001,v0.7,AD,0,C2,2,16800.0,
0.7-2001,v0.7,VWW,0,C2,2,296380.0,
0.7-2001,v0.7,IC,0,C2,2,304690.0,
0.7-2002,v0.7,KWS,0,C2,2,68310.0,
0.7-2002,v0.7,AD,0,C2,2,12130.0,
0.7-2002,v0.7,VWW,0,C2,2,225580.0,
0.7-2002,v0.7,IC,0,C2,2,227690.0,
0.7-2003,v0.7,AD,0,C2,2,4090.0,
0.7-2004,v0.7,KWS,3,C5,5,73500.0,
0.7-2004,v0.7,AD,3,C5,5,5900.0,
0.7-2004,v0.7,VWW,3,C5,5,220400.0,
0.7-2004,v0.7,IC,3,C5,5,184600.0,
0.7-2005,v0.7,KWS,3,C5,5,63600.0,
0.7-2005,v0.7,AD,3,C5,5,6800.0,
0.7-2005,v0.7,VWW,3,C5,5,200000.0,
0.7-2005,v0.7,IC,3,C5,5,202800.0,
0.7-2006,v0.7,KWS,3,C5,5,19500.0,
0.7-2006,v0.7,AD,3,C5,5,2400.0,
0.7-2006,v0.7,VWW,3,C5,5,59400.0,
0.7-2006,v0.7,IC,3,C5,5,65099.99999999999,
0.7-2007,v0.7,KWS,3,C5,5,50571.5,3796.96
0.7-2007,v0.7,AD,3,C5,5,4613.139999999999,324.088
0.7-2007,v0.7,VWW,3,C5,5,162364.0,11851.8
0.7-2007,v0.7,IC,3,C5,5,246184.0,17723.8
