round,rows_total,rows_unknown,share_unknown
v0.5,18,1,0.055556
v0.7,59,12,0.20339
v1.0,60,1,0.016667
v1.1,111,0,0.0
v1.2,73,0,0.0
v1.3,43,0,0.0
